aX,aY,aZ,gX,gY,gZ
-0.119,0.267,0.943,2.686,2.319,-1.160
-0.115,0.269,0.943,2.319,1.343,-0.549
-0.114,0.268,0.946,2.319,0.916,-0.488
-0.112,0.269,0.947,2.686,1.099,-0.671
-0.110,0.270,0.943,3.296,1.221,-0.793
-0.112,0.271,0.935,3.662,1.282,-0.977
-0.114,0.271,0.929,3.784,1.038,-1.404
-0.119,0.275,0.929,3.662,1.038,-1.648
-0.126,0.276,0.932,4.028,1.221,-1.709
-0.126,0.281,0.934,4.456,1.465,-1.282

-0.533,1.758,0.572,-16.174,-30.090,-55.786
-0.629,1.810,0.612,-9.216,-11.719,-58.167
-0.724,1.856,0.662,-0.122,2.136,-53.345
-0.794,1.870,0.683,10.437,10.132,-43.152
-0.794,1.844,0.669,19.836,10.132,-27.222
-0.731,1.784,0.625,26.123,1.343,-8.728
-0.597,1.712,0.565,30.518,-12.695,9.277
-0.420,1.627,0.497,33.508,-26.245,23.560
-0.239,1.534,0.425,34.607,-34.973,30.273
-0.080,1.439,0.379,34.302,-37.048,30.273
0.037,1.354,0.349,34.119,-33.081,24.048
0.145,1.277,0.361,34.607,-23.376,14.709
0.206,1.188,0.415,36.194,-11.047,3.723
0.183,1.121,0.463,39.368,-0.488,-7.202
0.123,1.082,0.499,44.495,8.179,-13.428
0.052,1.048,0.518,49.072,14.221,-12.207
0.005,0.992,0.531,52.673,15.320,-7.202
-0.034,0.908,0.525,54.382,6.592,-0.854
-0.081,0.808,0.505,52.612,-10.071,8.301
-0.098,0.716,0.485,46.387,-29.541,20.935
-0.096,0.627,0.464,36.926,-46.997,33.997
-0.078,0.541,0.453,25.696,-59.570,45.654
-0.079,0.438,0.462,14.343,-67.688,54.199
-0.093,0.327,0.479,2.747,-72.266,57.678
-0.099,0.240,0.505,-6.104,-70.862,57.556
-0.092,0.211,0.556,-10.132,-59.753,56.213
-0.066,0.173,0.636,-10.864,-39.612,52.063
-0.039,0.119,0.731,-7.324,-13.733,43.213
-0.035,0.080,0.836,0.854,13.062,31.128
-0.037,0.080,0.924,10.925,39.795,18.555
-0.041,0.088,0.996,22.888,63.171,7.690
-0.046,0.083,1.035,33.203,79.712,-0.793
-0.063,0.096,1.061,39.978,86.304,-6.165
-0.058,0.115,1.086,43.579,82.275,-9.277
-0.051,0.134,1.094,42.969,67.444,-10.681
-0.061,0.127,1.095,38.879,48.828,-7.446
-0.059,0.090,1.093,32.410,31.250,-1.648
-0.035,0.044,1.111,26.367,15.686,5.798
-0.001,-0.024,1.128,22.217,2.380,11.963
0.041,-0.095,1.142,20.508,-7.080,13.733
0.083,-0.175,1.152,22.095,-13.367,11.475
0.100,-0.235,1.158,26.672,-12.878,4.211
0.105,-0.272,1.148,33.142,-5.005,-4.211
0.107,-0.271,1.137,40.222,6.287,-12.451
0.080,-0.262,1.122,45.410,17.700,-18.433
0.047,-0.240,1.108,47.974,25.574,-23.071
0.019,-0.219,1.087,47.546,27.649,-24.353
-0.000,-0.195,1.068,43.579,23.437,-22.644
0.001,-0.203,1.101,35.706,10.925,-19.348
-0.014,-0.166,1.112,23.926,-18.494,-19.958
-0.034,-0.139,1.097,13.367,-39.429,-13.855
-0.020,-0.129,1.101,7.996,-42.358,-3.113
0.003,-0.110,1.099,3.113,-41.626,4.150
0.009,-0.089,1.101,-0.977,-39.734,8.057
0.007,-0.070,1.103,-3.174,-35.339,8.911
0.003,-0.054,1.103,-3.296,-29.968,7.568
-0.001,-0.046,1.101,-1.709,-22.827,3.296
-0.020,-0.014,1.092,1.587,-15.564,-1.770
-0.055,0.023,1.070,5.371,-7.935,-6.104
-0.103,0.072,1.044,8.850,0.732,-10.498
-0.147,0.115,1.021,12.390,8.972,-12.878
-0.180,0.154,1.000,13.733,13.916,-13.489
-0.209,0.188,0.981,13.733,15.381,-13.306
-0.228,0.219,0.969,12.268,14.343,-11.475
-0.244,0.243,0.957,10.437,11.658,-9.094
-0.250,0.261,0.945,8.423,8.606,-5.920
-0.244,0.281,0.931,6.775,5.554,-2.808
-0.239,0.298,0.915,4.700,2.869,-0.610
-0.228,0.311,0.908,3.235,1.526,0.732
-0.210,0.318,0.901,1.709,1.038,1.587
-0.204,0.320,0.903,0.244,1.160,1.404
-0.202,0.321,0.911,-0.183,2.197,1.343
-0.196,0.314,0.921,0.305,4.333,1.709
-0.188,0.316,0.927,1.160,5.066,2.441
-0.181,0.309,0.918,1.648,4.150,3.357
-0.172,0.304,0.911,1.709,2.625,4.578
-0.160,0.301,0.902,1.648,0.793,6.042
-0.151,0.302,0.902,1.465,-0.854,7.080
-0.142,0.299,0.895,1.221,-1.892,7.690
-0.138,0.300,0.896,0.671,-2.319,7.690
-0.133,0.300,0.900,0.671,-2.808,7.324
-0.130,0.298,0.904,0.793,-3.296,7.019
-0.129,0.301,0.908,1.160,-4.028,6.653
-0.123,0.303,0.906,1.343,-4.578,6.531
-0.114,0.300,0.906,1.160,-5.249,6.653
-0.107,0.293,0.908,0.854,-5.981,5.554
-0.103,0.287,0.915,0.793,-6.470,4.700
-0.099,0.284,0.923,0.854,-6.592,4.211
-0.097,0.281,0.918,0.732,-6.897,3.479
-0.102,0.285,0.923,0.244,-6.958,2.258
-0.106,0.281,0.927,0.061,-6.897,1.221
-0.111,0.280,0.940,0.488,-5.981,-0.244
-0.114,0.275,0.953,0.854,-5.188,-1.099
-0.116,0.272,0.951,1.343,-4.822,-1.160
-0.118,0.267,0.943,0.977,-5.249,-1.160
-0.119,0.265,0.944,0.244,-5.798,-0.732
-0.121,0.261,0.948,-0.488,-6.165,-0.366
-0.125,0.258,0.956,-0.732,-6.348,-0.366
-0.126,0.255,0.967,-0.305,-5.920,-0.122
-0.128,0.258,0.974,0.366,-5.249,-0.183
-0.135,0.256,0.981,1.526,-4.150,-0.366
-0.139,0.255,0.988,2.869,-2.502,-0.977
-0.145,0.255,0.993,4.578,-0.916,-1.221
-0.149,0.258,0.990,6.409,0.427,-1.404
-0.149,0.264,0.980,7.568,1.587,-1.282
-0.151,0.258,0.964,7.568,2.625,-1.526
-0.153,0.254,0.953,7.629,3.479,-1.465
-0.161,0.252,0.950,8.057,4.150,-1.404
-0.168,0.251,0.948,8.118,4.639,-1.404
-0.173,0.254,0.942,8.545,5.005,-1.038
-0.176,0.253,0.927,8.789,5.188,-0.671
-0.174,0.254,0.915,8.362,4.883,0.000
-0.171,0.260,0.904,7.935,4.272,0.549
-0.165,0.258,0.894,6.531,3.845,1.038
-0.156,0.255,0.895,5.432,3.723,1.343
-0.151,0.254,0.901,4.456,3.479,1.343
-0.145,0.254,0.910,3.418,3.052,1.160
-0.138,0.256,0.919,2.808,2.625,1.404
-0.134,0.254,0.923,2.258,2.136,1.404

-0.703,1.469,0.532,-8.301,-34.119,-56.702
-0.752,1.440,0.576,-2.197,-20.081,-49.194
-0.787,1.406,0.594,4.028,-13.977,-38.635
-0.776,1.364,0.593,9.644,-13.489,-24.780
-0.696,1.323,0.587,14.343,-14.404,-9.338
-0.594,1.281,0.580,16.785,-16.174,3.235
-0.500,1.251,0.573,17.883,-17.273,11.841
-0.414,1.226,0.569,19.104,-14.221,16.846
-0.337,1.200,0.573,20.630,-6.470,18.860
-0.267,1.166,0.584,22.400,2.991,19.836
-0.206,1.116,0.597,24.109,12.695,19.897
-0.167,1.053,0.606,26.062,20.020,19.470
-0.144,1.000,0.607,28.625,24.353,19.104
-0.125,0.952,0.589,30.518,26.306,20.752
-0.104,0.911,0.576,31.006,26.733,23.682
-0.075,0.874,0.579,29.541,26.367,27.344
-0.046,0.829,0.601,26.917,25.513,30.151
-0.032,0.779,0.633,22.461,23.071,31.433
-0.035,0.723,0.677,16.907,18.311,31.250
-0.044,0.679,0.708,11.536,13.367,32.715
-0.050,0.629,0.739,7.996,9.277,35.828
-0.038,0.573,0.763,6.287,6.470,38.086
-0.038,0.521,0.778,5.859,5.127,37.842
-0.040,0.481,0.788,6.226,7.629,37.109
-0.035,0.436,0.794,7.324,14.343,37.170
-0.034,0.395,0.801,7.751,21.667,36.682
-0.025,0.369,0.811,7.935,28.442,35.034
-0.032,0.355,0.818,7.080,31.982,34.058
-0.048,0.338,0.833,4.883,32.837,32.776
-0.063,0.319,0.861,2.014,31.555,32.898
-0.062,0.297,0.895,-0.305,28.809,33.997
-0.058,0.279,0.932,-0.732,26.367,35.278
-0.039,0.253,0.963,0.244,24.536,36.255
-0.022,0.223,0.983,2.441,21.973,36.316
0.004,0.199,0.993,5.249,18.799,33.691
0.003,0.192,0.984,7.202,15.137,28.381
-0.016,0.187,0.975,7.812,13.367,21.973
-0.044,0.194,0.994,9.399,16.235,16.663
-0.058,0.192,1.007,12.451,22.400,14.099
-0.063,0.192,1.017,16.357,27.771,12.390
-0.078,0.195,1.019,20.752,29.358,9.766
-0.095,0.199,1.007,24.048,27.283,8.301
-0.111,0.192,0.993,25.330,23.376,7.996
-0.121,0.184,0.980,26.184,19.348,8.911
-0.117,0.187,0.973,26.855,15.808,11.108
-0.104,0.175,0.969,27.344,13.367,13.306
-0.087,0.161,0.964,27.954,10.742,14.893
-0.063,0.136,0.954,28.198,7.568,15.015
-0.041,0.125,0.953,28.625,4.089,13.489
-0.024,0.108,0.939,28.198,0.977,10.925
-0.021,0.091,0.930,27.466,-1.892,8.118
-0.026,0.070,0.928,26.733,-3.479,5.249
-0.037,0.066,0.939,26.611,-3.357,2.502
-0.049,0.053,0.952,27.405,-1.770,0.305
-0.046,0.037,0.955,28.320,1.282,-1.282
-0.046,0.031,0.960,29.785,4.456,-2.319
-0.043,0.029,0.965,30.701,7.019,-3.540
-0.041,0.039,0.970,30.823,8.362,-4.578
-0.050,0.052,0.984,29.846,8.240,-5.676
-0.055,0.057,0.998,28.259,6.775,-6.531
-0.048,0.066,1.010,26.855,4.089,-6.042
-0.046,0.078,1.017,25.269,-0.183,-5.310
-0.048,0.077,1.022,24.048,-4.150,-5.493
-0.052,0.074,1.019,22.827,-7.446,-5.066
-0.050,0.069,1.012,22.095,-9.888,-3.845
-0.047,0.060,0.999,21.851,-12.512,-3.357
-0.059,0.055,0.976,21.423,-14.282,-4.517
-0.074,0.054,0.955,20.630,-14.343,-5.676
-0.086,0.048,0.955,19.287,-14.832,-6.958
-0.099,0.059,0.957,16.418,-18.433,-8.423
-0.108,0.068,0.961,13.611,-19.409,-7.141
-0.099,0.082,0.969,10.925,-18.860,-4.761
-0.084,0.094,0.982,8.362,-18.494,-2.869
-0.070,0.107,1.000,5.432,-19.287,-1.831
-0.063,0.124,1.022,3.174,-18.982,-0.793
-0.056,0.138,1.046,1.221,-18.860,0.000
-0.058,0.144,1.063,0.305,-18.799,0.488
-0.054,0.152,1.074,1.099,-18.066,0.671
-0.056,0.153,1.063,2.502,-17.151,0.244
-0.063,0.158,1.045,4.333,-15.320,-1.099
-0.072,0.160,1.028,6.775,-11.963,-2.563
-0.085,0.164,1.008,8.484,-8.057,-4.211
-0.102,0.172,0.991,9.644,-4.700,-5.798
-0.119,0.182,0.981,10.498,-1.160,-7.385
-0.135,0.188,0.972,10.620,2.136,-8.240
-0.150,0.197,0.968,10.193,4.578,-8.301
-0.158,0.205,0.964,9.399,5.920,-7.446
-0.162,0.210,0.965,8.423,5.981,-5.920
-0.159,0.218,0.962,7.568,5.371,-3.662
-0.153,0.227,0.956,6.409,3.845,-2.258
-0.147,0.227,0.949,5.310,2.563,-1.282
-0.145,0.224,0.946,5.005,2.258,-0.793
-0.144,0.224,0.941,4.700,2.502,-0.366
-0.145,0.222,0.937,4.395,2.930,-0.366
-0.144,0.221,0.924,4.089,3.540,-0.427
-0.148,0.218,0.915,3.540,3.784,-1.099
-0.153,0.218,0.912,3.052,3.845,-1.526
-0.156,0.218,0.910,2.686,3.906,-1.526
-0.152,0.226,0.907,2.258,3.479,-1.160
-0.149,0.231,0.906,1.038,2.319,-0.610
-0.146,0.236,0.910,-0.549,1.831,-0.488
-0.147,0.238,0.924,-1.587,1.892,-0.610
-0.145,0.241,0.941,-1.831,1.648,-0.427
-0.138,0.250,0.950,-1.343,1.160,0.000
-0.138,0.253,0.957,-1.160,0.427,-0.244
-0.140,0.254,0.965,-0.610,0.000,-0.244
-0.137,0.251,0.972,0.916,0.488,-0.122
-0.136,0.251,0.974,2.502,0.916,-0.122
-0.142,0.249,0.965,3.601,0.854,-0.061
-0.146,0.242,0.955,4.028,1.038,0.061
-0.146,0.239,0.956,4.761,1.282,0.000
-0.145,0.234,0.953,5.493,1.587,0.183
-0.140,0.231,0.946,6.165,2.014,0.061
-0.130,0.225,0.932,5.920,2.136,0.122
-0.126,0.227,0.931,5.066,2.258,-0.061
-0.124,0.222,0.937,4.333,2.808,-0.244
-0.119,0.215,0.947,3.906,2.991,0.061
-0.120,0.208,0.953,3.906,2.808,0.305
-0.119,0.199,0.952,4.578,2.319,0.305

-0.487,1.677,0.507,-42.786,-65.369,-9.033
-0.552,1.688,0.609,-37.415,-69.214,-11.719
-0.651,1.701,0.683,-27.771,-68.542,-17.639
-0.762,1.701,0.719,-16.235,-61.218,-22.461
-0.844,1.673,0.727,-4.456,-49.194,-20.691
-0.860,1.623,0.705,6.653,-36.499,-11.536
-0.800,1.544,0.666,14.771,-27.588,1.465
-0.688,1.460,0.624,20.447,-24.170,16.418
-0.554,1.355,0.573,23.132,-25.818,30.151
-0.416,1.264,0.519,24.048,-27.893,40.466
-0.291,1.186,0.472,23.865,-27.649,47.058
-0.187,1.129,0.443,23.437,-22.644,48.767
-0.115,1.082,0.430,23.132,-11.658,46.448
-0.065,1.046,0.445,23.804,3.784,42.480
-0.028,1.021,0.471,25.574,22.949,36.804
-0.004,0.991,0.507,27.649,41.748,30.334
-0.005,0.951,0.557,29.175,56.152,24.414
-0.033,0.903,0.611,30.029,63.416,19.348
-0.069,0.850,0.654,29.541,63.965,16.724
-0.099,0.787,0.680,27.588,58.899,19.531
-0.129,0.742,0.698,25.940,48.584,27.771
-0.138,0.700,0.712,24.536,35.522,37.292
-0.118,0.658,0.715,21.606,22.156,45.837
-0.081,0.604,0.715,17.334,8.911,53.040
-0.049,0.549,0.723,13.306,-3.235,58.533
-0.019,0.491,0.740,9.033,-11.902,61.340
0.008,0.440,0.759,5.920,-16.418,61.340
0.017,0.394,0.772,3.540,-15.869,61.096
0.018,0.349,0.796,1.892,-10.864,58.838
0.025,0.317,0.825,1.343,-2.869,54.260
0.036,0.282,0.850,2.197,6.531,49.072
0.048,0.253,0.871,2.930,14.709,43.579
0.037,0.235,0.901,3.235,19.592,36.682
0.014,0.222,0.939,3.784,21.545,30.273
-0.013,0.207,0.974,5.249,21.667,25.146
-0.034,0.183,0.992,7.324,20.935,22.278
-0.052,0.161,1.003,10.559,18.738,21.118
-0.068,0.110,1.001,14.404,15.381,19.592
-0.087,0.049,0.983,18.494,11.414,16.479
-0.095,0.010,0.949,23.010,7.385,13.672
-0.112,-0.023,0.903,26.611,4.761,10.742
-0.117,-0.045,0.858,28.442,4.761,7.751
-0.126,-0.075,0.826,28.442,7.751,5.676
-0.128,-0.091,0.818,26.489,13.062,4.456
-0.113,-0.097,0.811,23.376,18.799,3.723
-0.134,-0.092,0.831,18.799,22.034,2.197
-0.152,-0.101,0.865,14.221,23.254,0.916
-0.151,-0.108,0.908,9.949,23.254,3.052
-0.129,-0.117,0.950,6.409,20.569,6.897
-0.092,-0.115,0.982,3.662,14.893,10.437
-0.056,-0.099,1.008,1.343,7.080,13.000
-0.031,-0.089,1.026,-1.099,-0.671,13.489
-0.017,-0.081,1.037,-2.747,-6.714,12.451
-0.009,-0.069,1.046,-3.174,-8.972,10.559
-0.002,-0.044,1.055,-2.563,-8.179,8.240
0.001,-0.025,1.066,-1.038,-4.333,5.127
0.001,-0.007,1.085,-0.305,0.000,1.648
-0.003,0.012,1.103,0.427,3.174,-0.854
-0.011,0.041,1.129,0.854,4.944,-2.502
