aX,aY,aZ,gX,gY,gZ
-1.193,0.608,-0.828,-224.365,88.989,211.731
-1.159,0.532,-0.842,-210.144,94.360,216.614
-1.118,0.474,-0.852,-195.435,103.088,222.046
-1.078,0.427,-0.849,-184.204,114.197,224.976
-1.029,0.404,-0.846,-176.514,123.047,227.173
-0.975,0.343,-0.858,-174.133,131.104,230.408
-0.942,0.282,-0.894,-179.260,140.198,231.995
-0.891,0.246,-0.883,-185.486,147.522,230.652
-0.845,0.198,-0.920,-192.383,153.992,227.844
-0.800,0.155,-0.927,-202.698,162.354,222.595
-0.755,0.127,-0.908,-209.900,172.546,217.590
-0.743,0.102,-0.918,-217.163,184.204,213.257
-0.731,0.103,-0.889,-224.792,194.946,209.106
-0.719,0.070,-0.867,-225.159,205.139,205.139
-0.697,0.051,-0.831,-216.553,216.980,201.965
-0.667,0.062,-0.776,-205.627,230.835,201.233
-0.624,0.083,-0.725,-198.120,244.019,201.782
-0.617,0.094,-0.663,-197.266,253.357,200.439
-0.608,0.100,-0.598,-197.571,256.714,197.510
-0.562,0.123,-0.513,-196.228,256.592,195.312
-0.523,0.140,-0.487,-196.777,257.751,195.740
-0.480,0.139,-0.448,-197.021,259.705,197.327
-0.444,0.112,-0.398,-193.787,260.498,198.242
-0.392,0.080,-0.365,-191.223,260.132,197.937
-0.323,0.093,-0.339,-188.110,259.094,196.838
-0.272,0.096,-0.320,-185.791,257.629,196.838
-0.225,0.092,-0.286,-182.983,256.470,197.937
-0.169,0.098,-0.238,-182.068,255.066,197.937
-0.108,0.111,-0.238,-184.021,256.042,197.876
-0.068,0.103,-0.187,-182.068,258.667,197.693
-0.022,0.096,-0.108,-176.025,260.864,197.327
-0.001,0.100,-0.036,-171.143,262.390,199.402
0.027,0.057,0.032,-165.894,259.949,201.599
0.077,0.039,0.106,-160.217,251.526,199.341
0.119,0.052,0.161,-154.297,241.089,198.486
0.180,0.064,0.213,-148.499,229.431,200.500
0.273,0.048,0.264,-143.188,216.736,203.125
0.394,0.047,0.286,-137.146,204.346,204.651
0.503,0.048,0.294,-130.127,192.139,204.895
0.595,0.044,0.313,-123.413,181.091,202.637
0.646,0.049,0.339,-114.868,171.936,198.364
0.677,0.052,0.349,-105.042,164.490,194.458
0.707,0.079,0.347,-94.543,157.043,190.063
0.711,0.097,0.359,-85.083,148.926,184.692
0.722,0.128,0.346,-77.209,141.052,180.481
0.764,0.180,0.337,-66.772,132.690,177.490
0.795,0.194,0.363,-56.458,123.718,176.208
0.849,0.183,0.384,-55.115,116.882,175.415
0.878,0.158,0.440,-57.068,111.206,172.241
0.921,0.136,0.470,-59.021,106.750,167.847
0.961,0.113,0.495,-61.096,100.464,161.682
0.986,0.132,0.495,-62.805,92.163,153.442
1.002,0.169,0.527,-64.087,82.825,145.935
1.033,0.255,0.501,-67.444,73.181,143.127
1.076,0.286,0.534,-75.745,65.247,142.639
1.119,0.248,0.598,-80.383,56.396,136.719
1.172,0.217,0.672,-79.224,47.607,128.235
1.255,0.168,0.734,-74.585,38.330,124.451
1.358,0.098,0.803,-67.566,31.677,118.408
1.413,0.000,0.928,-60.486,23.926,106.323
1.441,-0.014,1.000,-52.734,13.916,90.393
1.423,0.039,0.948,-38.025,14.709,83.252
1.411,0.083,0.972,-24.902,20.203,76.294
1.385,0.104,1.058,-22.095,19.226,61.035
1.320,0.100,1.181,-24.902,8.850,42.419
1.275,0.063,1.262,-22.095,-3.174,28.137
1.222,0.010,1.296,-11.536,-12.329,19.165
1.141,-0.041,1.290,-0.427,-20.935,11.230
1.024,-0.073,1.251,7.568,-30.090,1.099
0.886,-0.115,1.206,15.503,-37.598,-8.484
0.768,-0.121,1.097,23.987,-38.513,-15.381
0.658,-0.097,1.004,27.893,-36.987,-21.301
0.566,-0.058,0.942,26.978,-36.682,-27.222
0.473,-0.033,0.877,24.475,-34.241,-27.466
0.417,-0.002,0.808,21.912,-30.579,-23.560
0.378,0.002,0.778,22.034,-26.306,-18.738
0.374,-0.027,0.784,23.254,-22.034,-12.512
0.409,-0.089,0.814,23.987,-18.738,-7.141
0.445,-0.145,0.850,23.437,-16.296,-3.540
0.485,-0.178,0.870,22.339,-14.343,-2.197
0.540,-0.186,0.873,22.156,-11.841,-1.770
0.582,-0.174,0.885,22.400,-9.216,-2.197
0.593,-0.177,0.908,24.048,-6.775,-2.380
0.596,-0.168,0.912,25.269,-5.310,-3.296
0.592,-0.150,0.895,23.560,-5.859,-5.371
0.583,-0.136,0.867,21.118,-7.874,-7.385
0.559,-0.124,0.835,18.127,-9.338,-8.972
0.529,-0.129,0.816,16.785,-9.460,-9.766
0.507,-0.125,0.805,15.991,-9.094,-10.193
0.494,-0.134,0.794,15.869,-7.568,-10.132
0.486,-0.141,0.786,15.320,-6.775,-10.193
0.486,-0.149,0.780,15.381,-5.554,-10.681
0.492,-0.160,0.790,17.029,-3.723,-11.475
0.498,-0.174,0.815,19.897,-2.014,-11.108
0.514,-0.183,0.829,22.522,-1.892,-11.841
0.531,-0.163,0.836,25.146,-1.648,-13.733
0.564,-0.137,0.859,26.855,-2.747,-16.541
0.608,-0.120,0.892,29.907,-2.869,-18.494
0.677,-0.104,0.935,33.997,-3.906,-20.630
0.764,-0.109,0.982,39.124,-6.042,-23.743
0.855,-0.126,1.037,46.021,-9.338,-28.992
0.942,-0.164,1.090,55.359,-13.611,-34.668

1.237,-0.207,1.217,104.736,-31.738,-70.618
1.324,-0.231,1.242,128.113,-38.391,-89.111
1.400,-0.259,1.260,154.175,-44.556,-112.549
1.453,-0.273,1.244,178.650,-50.537,-140.137
1.491,-0.292,1.229,202.332,-56.335,-170.532
1.504,-0.289,1.177,224.060,-62.500,-202.820
1.491,-0.272,1.125,242.371,-68.359,-231.873
1.457,-0.202,1.059,257.141,-74.524,-251.892
1.354,-0.164,0.996,271.423,-84.412,-260.193
1.288,-0.030,0.965,281.677,-97.534,-273.926
1.188,0.082,0.851,275.757,-113.464,-265.320
1.048,0.144,0.739,250.549,-121.277,-270.447
0.929,0.151,0.634,227.844,-123.901,-276.184
0.824,0.141,0.548,211.243,-123.535,-275.940
0.687,0.118,0.451,195.679,-120.361,-271.484
0.535,0.069,0.397,184.448,-115.234,-267.334
0.379,0.037,0.331,178.589,-109.741,-262.939
0.233,0.009,0.257,175.659,-105.591,-258.057
0.119,-0.031,0.194,173.645,-103.943,-255.005
0.037,-0.053,0.136,171.631,-104.858,-254.883
-0.034,-0.056,0.091,169.556,-109.436,-253.906
-0.094,-0.061,0.061,165.222,-115.967,-250.366
-0.154,-0.095,0.022,154.785,-119.324,-247.131
-0.221,-0.150,-0.004,145.325,-119.080,-244.629
-0.291,-0.192,-0.017,138.977,-118.591,-239.685
-0.345,-0.237,-0.006,136.902,-119.507,-232.910
-0.376,-0.303,-0.004,136.475,-120.422,-227.783
-0.387,-0.358,-0.031,135.986,-120.911,-226.440
-0.381,-0.395,-0.063,137.573,-123.657,-227.966
-0.367,-0.404,-0.078,142.578,-129.700,-228.638
-0.347,-0.415,-0.088,147.522,-135.620,-229.736
-0.317,-0.425,-0.102,149.536,-139.099,-232.605
-0.312,-0.411,-0.110,147.461,-139.526,-236.816
-0.354,-0.348,-0.102,144.043,-139.465,-239.441
-0.414,-0.289,-0.097,140.991,-141.052,-242.554
-0.472,-0.213,-0.116,137.512,-146.484,-247.009
-0.521,-0.117,-0.159,135.071,-156.433,-250.183
-0.540,-0.033,-0.208,134.094,-167.297,-251.831
-0.523,0.025,-0.240,134.766,-173.706,-250.488
-0.490,0.045,-0.260,140.381,-172.363,-246.216
-0.454,0.032,-0.280,147.461,-162.720,-239.441
-0.400,0.034,-0.289,152.222,-147.705,-232.422
-0.373,0.081,-0.277,158.630,-130.249,-223.145
-0.403,0.155,-0.228,166.809,-117.065,-213.013
-0.432,0.262,-0.206,182.373,-112.793,-204.041
-0.457,0.327,-0.260,204.102,-113.831,-203.979
-0.454,0.347,-0.341,211.182,-121.033,-215.637
-0.433,0.375,-0.404,202.209,-131.897,-226.929
-0.412,0.398,-0.437,190.613,-141.052,-234.192
-0.372,0.447,-0.457,180.603,-144.409,-237.915
-0.369,0.481,-0.490,182.312,-139.343,-241.394
-0.379,0.570,-0.505,189.453,-129.883,-241.150
-0.391,0.637,-0.536,198.669,-118.713,-234.558
-0.401,0.751,-0.492,196.960,-109.253,-228.027
-0.424,0.875,-0.481,204.041,-98.572,-216.492
-0.464,0.961,-0.476,215.698,-88.562,-208.435
-0.471,1.019,-0.491,223.816,-80.383,-204.224
-0.472,1.056,-0.496,226.929,-70.679,-200.134
-0.494,1.088,-0.492,223.450,-61.584,-195.862
-0.520,1.134,-0.477,216.064,-54.504,-194.092
-0.527,1.179,-0.480,209.534,-47.607,-194.946
-0.497,1.246,-0.474,206.848,-40.283,-197.937
-0.479,1.322,-0.474,205.811,-37.292,-194.763
-0.508,1.365,-0.519,197.815,-36.011,-184.509
-0.541,1.383,-0.563,183.289,-32.959,-174.072
-0.547,1.407,-0.589,169.434,-28.992,-163.696
-0.583,1.456,-0.609,158.325,-24.902,-153.320
-0.614,1.488,-0.641,151.367,-20.203,-143.921
-0.655,1.558,-0.681,146.179,-14.526,-131.714
-0.711,1.615,-0.711,143.921,-9.766,-114.990
-0.751,1.658,-0.737,141.968,-6.226,-101.196
-0.790,1.706,-0.773,135.254,-4.700,-91.614
-0.827,1.753,-0.805,121.582,-4.639,-85.022
-0.852,1.764,-0.834,104.309,-4.639,-79.651
-0.900,1.788,-0.852,86.487,-3.601,-77.271
-0.890,1.816,-0.861,70.801,-3.357,-68.176
-0.888,1.792,-0.881,51.331,-4.211,-50.903
-0.905,1.762,-0.901,27.466,-2.075,-35.034
-0.898,1.688,-0.907,8.301,2.686,-19.165
-0.866,1.597,-0.877,-4.822,9.888,-5.554
-0.835,1.502,-0.803,-13.550,17.761,4.150
-0.813,1.410,-0.725,-23.071,24.902,13.123
-0.791,1.304,-0.636,-33.020,29.724,20.508
-0.769,1.202,-0.561,-40.710,32.410,22.278
-0.759,1.140,-0.493,-47.974,31.555,23.071
-0.759,1.090,-0.408,-53.101,28.748,25.085
-0.757,1.040,-0.335,-55.237,26.794,28.137
-0.749,0.987,-0.285,-52.917,25.635,32.043
-0.728,0.923,-0.249,-47.913,24.414,35.706
-0.701,0.875,-0.231,-42.175,23.621,39.001
-0.677,0.838,-0.224,-36.377,22.461,41.199
-0.654,0.814,-0.222,-32.166,19.470,40.833
-0.633,0.786,-0.232,-30.457,15.076,39.001
-0.610,0.758,-0.241,-30.212,11.047,35.889
-0.591,0.737,-0.243,-30.151,8.667,32.410
-0.581,0.723,-0.242,-29.114,7.507,29.297
-0.574,0.714,-0.243,-27.588,7.385,26.184
-0.569,0.715,-0.246,-25.757,7.874,24.414
-0.568,0.723,-0.237,-23.376,8.484,25.085
-0.569,0.727,-0.224,-21.362,7.324,28.259
-0.558,0.708,-0.223,-20.325,5.066,31.616
-0.540,0.686,-0.226,-20.325,3.174,33.875
-0.518,0.663,-0.227,-20.508,2.014,35.400
-0.496,0.643,-0.229,-20.508,0.977,35.156
-0.484,0.618,-0.239,-20.447,0.793,33.447
-0.472,0.596,-0.252,-20.447,0.854,31.067
-0.464,0.579,-0.259,-19.409,0.366,29.358
-0.452,0.566,-0.265,-18.494,-0.122,26.978
-0.445,0.561,-0.275,-18.555,0.305,24.292
-0.444,0.554,-0.281,-18.188,0.122,22.583
-0.442,0.545,-0.292,-17.700,-0.366,20.081
-0.435,0.540,-0.303,-17.578,-0.916,16.785
-0.437,0.545,-0.307,-16.479,-1.770,14.465
-0.442,0.544,-0.315,-14.587,-2.625,12.939
-0.444,0.539,-0.329,-12.573,-2.808,10.925
-0.445,0.543,-0.338,-9.888,-2.319,9.094
-0.452,0.545,-0.346,-7.019,-2.441,7.874
-0.454,0.540,-0.353,-4.517,-2.930,4.883
-0.453,0.541,-0.363,-2.380,-2.991,1.343

-0.813,1.017,-0.836,-86.731,19.775,78.064
-0.894,1.042,-0.867,-110.718,27.283,90.393
-1.007,1.052,-0.897,-133.789,32.288,96.497
-1.115,1.101,-0.921,-153.992,34.790,100.464
-1.276,1.185,-0.990,-174.744,35.583,107.849
-1.430,1.217,-1.074,-191.345,35.461,116.699
-1.539,1.263,-1.142,-201.721,36.438,127.869
-1.614,1.275,-1.184,-209.595,41.748,143.188
-1.664,1.217,-1.213,-212.830,51.086,159.546
-1.676,1.161,-1.255,-213.440,62.500,174.194
-1.650,1.089,-1.264,-212.402,75.012,188.354
-1.612,1.015,-1.241,-209.351,87.097,199.829
-1.570,0.963,-1.185,-207.581,95.581,209.717
-1.548,0.872,-1.133,-211.487,100.830,217.285
-1.502,0.791,-1.040,-215.454,104.553,220.642
-1.441,0.750,-0.949,-215.576,109.985,225.525
-1.431,0.670,-0.877,-216.064,116.150,233.398
-1.428,0.617,-0.827,-213.684,117.554,239.990
-1.375,0.664,-0.833,-213.135,116.089,244.324
-1.299,0.674,-0.887,-220.093,116.760,249.207
-1.197,0.656,-0.958,-232.910,123.230,256.042
-1.115,0.584,-0.953,-242.859,136.230,262.939
-1.003,0.480,-0.895,-246.399,154.419,268.127
-0.923,0.399,-0.817,-243.286,172.729,268.677
-0.877,0.334,-0.735,-237.244,186.096,266.235
-0.851,0.289,-0.673,-231.628,193.237,262.634
-0.828,0.295,-0.648,-225.952,196.350,258.789
-0.795,0.326,-0.665,-225.220,198.669,256.409
-0.745,0.343,-0.689,-228.027,202.576,255.676
-0.717,0.384,-0.728,-231.384,210.327,257.141
-0.652,0.381,-0.703,-233.521,220.703,259.888
-0.606,0.373,-0.647,-234.253,232.056,260.742
-0.573,0.368,-0.583,-231.567,241.577,260.193
-0.513,0.432,-0.571,-230.591,247.253,259.094
-0.449,0.415,-0.486,-231.323,250.732,259.216
-0.375,0.419,-0.414,-226.990,252.686,259.705
-0.290,0.415,-0.347,-221.558,257.324,261.047
-0.209,0.383,-0.263,-216.125,261.780,260.376
